"","cg1","cg2","cg3","cl1","cl2","cl3","cw1","cw2","cw3","sg1","sg2","sg3","sl1","sl2","sl3","sw1","sw2","sw3"
"WBGene00000001",8.107014,6.975508,6.985529,10.264917,11.716065,4.920195,7.808453,6.455659,4.03888,0.893526,0,7.632755,7.877247,12.398355,3.149879,7.148765,21.891214,17.518157
"WBGene00000002",6.298857,6.702213,5.339158,8.038582,5.859117,4.790453,5.207178,6.370798,1.546508,0,0,1.182255,2.428104,0,1.07074,4.189777,0,0
"WBGene00000003",7.474552,6.439804,2.682232,13.091974,8.227378,2.432142,5.541982,2.858928,0.625897,0.655406,0.936091,4.882107,6.128206,1.28047,1.540425,4.928588,5.284114,3.134284
"WBGene00000004",5.752922,5.549213,4.810247,6.80561,4.916061,2.635742,3.897999,3.23658,1.574245,2.409414,0,1.127694,9.63875,6.623443,6.589569,7.025859,3.393078,0
"WBGene00000005",3.959048,3.393787,3.135553,5.422508,4.092565,3.048471,4.190805,4.325412,1.321433,0.566821,0,2.326956,2.381755,1.527144,3.522738,2.257302,5.957738,0.397902
"WBGene00000006",6.189619,6.405323,7.147701,6.277508,5.058068,3.790832,3.571827,2.44648,1.883535,1.668593,0.015293,3.33237,19.626887,7.436698,6.848807,15.62427,13.279495,4.563088
"WBGene00000007",7.93924,7.919959,3.00549,10.103855,6.987931,4.463212,6.495012,4.979397,2.475253,0.207272,0,1.998956,2.024455,0.636347,0.064027,3.642291,2.533591,3.517219
"WBGene00000008",0.849476,1.173576,0.554523,1.121827,0.721825,0.307463,0.499852,0.292683,0.204199,0,0,0.284022,0.132147,0.049586,0,0.427424,0.125503,0.182713
"WBGene00000009",0.991126,0.918441,0.399305,1.528977,1.011091,0.355806,0.798431,0.714935,0.177037,0.04657,0,0.560801,0.506602,0.017059,0,0.334424,0.240565,0
"WBGene00000010",6.923008,5.431927,6.258855,8.923224,8.323016,3.720172,6.439963,5.696062,1.60676,0.841859,0,3.67077,5.890768,2.642532,2.765613,4.540898,8.624416,0.028595
"WBGene00000012",5.395721,1.41305,0,2.363797,2.824631,0,8.476037,0.534482,3.579817,0,0,21.310409,8.273867,20.373876,0,13.218813,8.348964,0
"WBGene00000013",5.856116,5.984858,4.338837,4.672113,4.336768,2.378076,6.075312,8.375901,3.506218,0,0,5.444164,13.688786,1.917598,6.621722,5.358776,5.928228,0
"WBGene00000014",0,0,0,0,0,0,0,0,0,0,0,0.266987,0,0.357355,0,7.750612,4.263975,0
"WBGene00000015",0.942045,0.616765,0.370043,0.412698,0.739733,0.80205,0.796837,0.746527,0.156251,0,0,14.882429,3.43079,6.877054,0,5.341109,1.286166,61.166906
"WBGene00000016",15.859298,19.336616,2.76874,12.75654,9.028139,5.27966,11.812505,5.665794,3.334819,122.997245,0,49.15721,77.773805,87.058516,6.953719,30.281848,13.977542,0.018374
"WBGene00000017",14.163237,14.443213,1.823199,14.472733,10.576658,1.394715,12.73479,5.787649,0.928346,52.439507,0,5.169079,20.305104,103.573968,6.085359,9.402524,4.920439,40.82408
"WBGene00000018",5.632279,5.774903,4.339923,5.607986,5.454773,2.050868,3.459436,3.182268,0.986025,0.777047,0.06465,1.703393,7.754911,5.031776,3.688314,4.241817,6.493489,1.775371
"WBGene00000019",0.68866,0.436444,0.620373,1.709595,1.44204,0.182411,0.61946,0.594847,0.123665,0.290965,0,0.604171,2.490355,1.967215,1.604352,1.339494,1.613622,0.002927
"WBGene00000020",3.467242,3.249467,2.043729,3.267385,3.403752,1.30381,1.776926,1.63563,0.435132,0.235049,0,0.728256,5.227475,3.229675,3.909676,3.294509,3.596731,0.059521
"WBGene00000021",0.075547,0.079138,0.158269,0.134486,0.124295,0.065341,0.024344,0.054166,0.021481,0,0,0.072169,0.366842,0.026564,0.025658,0.169216,0.196464,0.001525
"WBGene00000022",10.701485,10.938608,9.272249,10.926339,10.905478,5.682835,6.411475,5.308926,1.903498,0.904723,0,3.948596,2.251098,0.65697,1.457698,4.147784,4.169775,6.176759
"WBGene00000023",0.968569,0.815944,1.113893,1.815962,1.815419,0.466459,0.7628,0.877579,0.240414,0.319604,0,0.686179,2.812043,0.015913,3.739906,2.040524,1.131883,0.001436
"WBGene00000024",22.965294,23.625411,28.081247,26.219985,28.259553,6.788884,10.504785,11.002636,11.083905,2.239407,0,13.207331,8.377386,1.207744,4.871488,2.818324,24.83661,0
"WBGene00000025",0.126012,0.110002,0.032999,0.294423,0.439778,0,0.091362,0.174753,0,0,0,0,0,0.007049,0.024966,0,0.214098,0.031169
"WBGene00000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030732,0
"WBGene00000027",1.656852,1.013592,2.873441,2.333894,2.663509,0.988606,0.989566,1.053297,1.173699,0,0,1.260763,0.160616,0,2.671347,0,1.236951,0.040377
"WBGene00000028",0,0,0,0.025448,0,0,0,0,0,0,0,0,0.11525,0,0,0,0.455972,0
"WBGene00000029",20.762491,23.664303,34.862856,19.079101,18.729821,7.818646,9.226395,7.382209,9.457573,1.37931,0.081689,9.248179,10.810438,2.592801,0,6.258643,10.644789,0.328283
"WBGene00000030",19.027643,20.18889,32.065808,19.033592,19.122241,6.759033,8.496824,7.417009,5.98396,0,101.450062,20.809121,19.356603,9.095695,0,21.964058,22.125287,0.016297
"WBGene00000031",0.971011,2.078128,3.006123,2.065332,3.670701,0,0.411788,0.406256,0.177023,0.924039,2.824185,8.67213,5.247039,4.327238,0,10.307559,10.087677,0.31837
"WBGene00000032",0,0,0,0,0,0,1.330124,0,2.018968,0,0,1.621555,0,0,0.408723,2.30159,3.159342,0
"WBGene00000033",16.211636,17.868541,18.611611,16.856212,18.381272,4.219206,7.872378,7.219688,6.585729,0.263022,0,19.110144,34.27687,12.779073,0,11.040851,22.993105,0.006407
"WBGene00000034",26.147268,24.799613,42.520837,25.120383,29.554621,8.70721,13.716929,14.841329,12.525439,3.232989,0,12.047162,14.937187,0,2.115143,9.28827,15.240208,0.019182
"WBGene00000035",0,0,1.351872,0,0,1.029608,0,0,0.479884,2.102889,0,0.652266,3.080371,0.112048,0.099209,2.102907,2.238401,0.29491
"WBGene00000036",8.492957,8.467507,5.520975,7.768052,6.417444,2.975212,4.988518,4.126821,1.113349,2.338817,0,0.098781,1.196009,0.301451,2.350685,1.094099,1.451393,0.243872
"WBGene00000037",1.833416,2.061296,1.067855,1.717179,1.563785,0.568164,1.038968,0.732711,0.25691,0.101371,1.284439,0.745114,4.332197,1.188291,2.761855,4.823524,1.93922,0.050265
"WBGene00000038",1.257952,1.067664,0.134655,0.761608,0.740247,0.048643,0.452693,0.174634,0.054827,0,0,0.198018,0.26048,0.597884,1.604506,0.812392,0.213953,0
"WBGene00000040",98.656951,88.666653,100.914834,103.290858,93.84124,100.619823,76.664286,71.553413,47.261621,0,17.760504,22.958012,19.231955,1.278909,0,21.490343,12.764639,2.868012
"WBGene00000041",215.684874,208.856042,235.256538,225.531133,219.210502,181.791725,160.302093,156.053614,128.003412,29.494499,105.947593,36.691635,80.657023,23.722039,32.726756,53.456632,42.228727,41.121879
"WBGene00000042",0.795247,0.823582,0.624759,0.918477,0.700154,0.410344,0.428061,0.48697,0.25781,0.07452,251.51081,5.742324,38.966709,36.373295,79.976899,114.622967,52.174941,82.126049
"WBGene00000043",0.448875,0.493149,0.344043,0.575551,0.401192,0.223709,0.232838,0.321009,0.094427,4.213105,0,0.927941,5.464519,2.77802,4.568036,5.456282,2.543061,4.470613
"WBGene00000044",0.427947,0.385737,0.375295,0.395303,0.385536,0.29374,0.230899,0.1183,0.224497,0.264442,0,0.249565,1.961026,5.89907,4.992455,0.880528,3.913264,0.00422
"WBGene00000045",0.087152,0.091295,0.057057,0.101814,0.102654,0.049467,0,0.025899,0.043366,0,0,0,1.628746,0,1.942502,2.824461,1.300941,0
"WBGene00000046",0.502789,0.49307,0.25773,0.612369,0.35841,0.13763,0.392972,0.211934,0.070974,0,0,0.296573,0.80379,0.258519,1.258935,0.245605,0.74133,0.009072
"WBGene00000047",2.344344,2.221895,2.402521,2.489763,1.615084,1.420883,1.540277,1.270692,0.828182,2.346124,0,2.905544,3.065735,1.95643,1.559034,2.309016,1.584073,0.004303
"WBGene00000048",0.45562,0.428575,0.292198,0.347605,0.408882,0.126665,0.242695,0.19895,0.055521,1.133103,84.829188,2.32235,47.237508,190.005893,56.835419,56.941631,21.699949,66.278562
"WBGene00000049",0.269685,0.203403,0.079098,0.22684,0.192003,0.040819,0.145994,0.17097,0.050099,0,0,0.524784,0.785723,1.969643,0.346227,0.664469,0.502714,0.361362
"WBGene00000050",0.801173,0.953054,0.31293,1.38014,0.909907,0.349406,0.551333,0.48424,0.099101,0.012442,0,1.825161,1.301408,0,0.016142,3.246888,1.295299,0.011516
"WBGene00000051",0.958082,1.270612,1.025358,1.450362,1.122493,0.73035,0.701256,0.526376,0.307004,0.19219,0.009176,1.218554,33.249087,71.622501,58.333554,63.067539,54.819896,29.1768
"WBGene00000053",0.217914,0.120143,0.3484,0.174182,0.120081,0.138876,0.07761,0.118154,0.022828,1.870517,121.977484,1.449516,32.113705,154.656778,92.544994,45.200659,37.973422,42.383504
"WBGene00000054",2.394958,2.135695,2.637343,2.166555,1.71024,1.979794,1.721556,1.401521,1.059298,6.268008,0,5.149455,29.605666,69.056024,37.404415,20.157839,26.221129,5.739099
"WBGene00000055",1.972406,1.531633,2.0044,2.522043,1.705496,1.217927,1.811856,1.135343,0.488285,8.208848,0.01541,1.850461,13.42974,63.336096,17.963939,7.17643,7.531217,0
"WBGene00000056",0.216589,0.380515,0.586406,0.237467,0.322245,0.166867,0.327502,0.180978,0.185374,0.011025,0,2.763578,17.846625,0.025226,42.948848,128.175322,59.296959,0.015935
"WBGene00000057",0.665789,0.721078,0.945636,0.790979,0.874296,0.392843,0.785429,0.590204,0.20963,5.221398,0,0.86024,3.045482,10.249055,8.129007,4.625518,5.357426,4.234738
"WBGene00000058",0.500105,0.41202,0.311514,0.560359,0.32141,0.203283,0.259666,0.182453,0.089106,0,75.317079,0.3647,0.802852,0,0.829843,7.635299,2.929915,0
"WBGene00000059",0.798282,0.684848,0.685812,0.724539,0.66678,0.256545,0.344307,0.309348,0.205847,0.009795,0,0.482526,2.038893,10.388781,7.218872,2.66038,6.805849,0
"WBGene00000060",0.488532,0.399595,0.45722,0.567798,0.375365,0.239373,0.337211,0.299467,0.191607,1.109765,0,0.034962,0.900771,2.279622,0.18941,0.433242,3.011219,0.008446
"WBGene00000061",0.846151,0.940918,0.436349,0.577893,0.545176,0.177331,0.377525,0.27853,0.190007,0,0,1.625645,1.197691,1.310773,0,0.561294,0.379157,0.02208
"WBGene00000062",0.580253,0.53499,0.70974,0.72911,0.546519,0.338569,0.402175,0.336215,0.184532,0,0,0.07138,0.965314,0,0,0.870553,1.278312,0
"WBGene00000063",1387.048444,1201.821759,1980.519742,1422.315743,1493.593266,1389.947036,1060.220907,1397.491912,861.941297,0.022556,11.995875,12.328504,18.563551,1.347447,11.431005,35.032726,18.333606,8.520861
"WBGene00000064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00000065",634.789044,644.688756,626.265302,766.687792,671.103781,456.415126,672.285026,586.575034,682.728633,372.357035,712.089356,445.993787,564.890701,103.013446,213.358069,334.424559,488.295863,401.234597
"WBGene00000066",981.370373,919.504142,1137.609429,1056.343632,1078.715108,831.335882,786.117623,895.588496,939.84673,431.584051,11882.040169,7596.495346,14639.418652,8861.471544,10122.907099,9999.343387,9016.378272,9801.74014
"WBGene00000067",947.78047,829.909251,857.167239,827.660456,841.355975,868.887694,683.137388,696.127073,550.350423,0,0,0,0,0,0,12.043175,0,0
"WBGene00000068",2.801886,2.742942,2.019308,3.195756,2.680231,1.048411,1.901282,1.138015,0.541108,4.358538,88.28453,2.45423,28.471448,46.814089,24.915047,35.876595,34.740386,4.725885
"WBGene00000069",0.473802,0.501548,0.261212,0.454461,0.464735,0.200044,0.361597,0.181805,0.102576,3.24446,0,0.36769,3.150861,0.130569,2.324018,3.49657,1.249268,0.006344
"WBGene00000070",2.153685,2.028081,1.265753,0,1.784309,1.778793,0,0,1.312385,1.040469,0.003196,2.640761,6.403539,2.751343,1.727279,3.729103,2.771083,2.825278
"WBGene00000071",1.642368,1.586446,1.082596,2.109938,1.987384,0.991249,1.24145,0.681159,0.281744,0.140636,0,0.461881,0.737484,0.044649,1.696877,4.197281,3.230047,0
"WBGene00000072",3.862184,3.754135,3.582326,3.81637,3.710229,2.668135,2.642947,2.197305,1.164912,3.593219,0.01234,1.491439,18.786777,19.123425,24.411313,18.876479,23.634873,26.408599
"WBGene00000073",7.351588,8.121953,7.008829,9.333783,8.923177,8.640366,6.271654,3.605294,7.268047,0.604338,0,30.909934,15.8629,11.863345,26.369475,13.44335,13.687371,22.140729
"WBGene00000074",5.183596,4.431905,4.151434,4.769385,4.639621,2.151304,2.576988,3.091658,1.072938,1.723654,0,1.22668,3.760404,5.778235,3.785312,3.012091,5.197875,0.09179
"WBGene00000075",4.022565,3.765334,2.922455,4.259543,3.871566,1.966195,2.711316,2.772419,0.793292,13.275106,0,1.188238,1.080859,4.706866,2.790064,1.124192,1.381223,0.006259
"WBGene00000079",16.744245,13.880283,16.657711,20.527874,17.667981,10.630651,14.342371,12.052261,5.14303,5.378404,6.338492,5.635806,27.11223,20.017457,18.849896,16.171271,21.64604,16.539844
"WBGene00000080",13.750713,13.11482,14.391944,18.225125,18.740628,11.585178,15.642291,10.945999,8.764921,0,0,4.879556,4.49408,0,1.764561,8.572569,5.735854,0
"WBGene00000081",121.00701,110.441264,112.080137,106.282789,107.731661,116.592579,90.167887,93.45059,67.125911,20.958451,44.359439,29.514375,34.829364,5.114103,9.067483,33.403795,29.822607,10.925906
"WBGene00000083",8.138124,10.969531,9.257991,5.448586,12.459351,6.705235,6.234929,7.682832,1.828501,1.871159,0,3.67264,4.113532,0.820054,0.168224,1.872405,3.275019,0.004774
"WBGene00000084",1.213338,1.314466,0.983092,1.706588,1.112915,0.790205,0.681702,0.423231,0,0.680927,0,0.916053,0.217903,0.189078,0.307098,0.222087,2.046297,2.103585
"WBGene00000085",0.540705,0.549747,0.433116,0.557355,0.599413,0.276813,0.261349,0.365471,0.369284,0.145711,0.024974,0.303079,5.401494,1.355772,0.756174,4.212183,4.585646,0
"WBGene00000086",2.500009,2.410173,1.742308,2.360862,2.351265,1.31661,1.42253,1.283264,0.707108,1.703005,44.720708,0.517656,8.639628,8.736222,7.606714,8.252731,12.216701,3.875656
"WBGene00000088",15.625543,17.371704,15.165625,16.785542,13.225722,13.720677,10.253371,8.792698,5.699778,11.098727,91.209705,49.941971,24.266415,213.337953,117.460182,24.590064,72.277539,46.012044
"WBGene00000089",7.203132,7.409158,7.704287,7.401089,5.724349,5.730413,6.334032,3.971634,5.052447,8.945547,61.446831,3.19906,13.557198,12.394086,13.359603,12.270706,11.769655,14.278214
"WBGene00000090",5.026052,4.541196,3.926366,6.321713,7.156094,2.504184,3.743525,3.586393,1.308412,4.667791,0,5.097674,7.295722,3.455883,4.089378,3.591406,15.593074,7.8504
"WBGene00000092",4.903535,6.133651,5.403887,7.032365,4.999688,3.988203,3.824254,3.525122,4.733732,8.517949,1274.535389,17.923452,593.663148,1563.120715,1609.349497,559.066001,838.55034,109.795261
"WBGene00000093",28.041314,26.972754,24.102055,32.896251,31.006046,24.874073,29.94158,24.13424,30.152334,62.872081,0,12.914541,16.64203,13.420807,4.871534,16.051615,13.667507,19.619514
"WBGene00000094",3.522172,3.610672,3.472411,4.950864,5.91606,2.865116,4.060354,2.313527,2.936623,0.759334,0,15.803624,39.914996,81.791431,48.54101,25.608408,109.047308,23.896242
"WBGene00000096",0.223003,0.284386,0.166476,0.215212,0.233482,0.090207,0.084356,0.084518,0.096491,0,0,0,1.632738,0.078103,0,0.222488,0.642463,0.004212
"WBGene00000097",14.777673,9.547733,15.75908,13.075911,14.893113,10.101355,13.677234,10.199575,13.915807,3.686361,133.099427,34.149626,83.565234,222.500377,131.284488,67.620559,78.808114,91.050051
"WBGene00000098",0,0,0,0,0,0,0,0,0,0,0.011082,17.731644,15.72346,1.1473,7.730769,9.759041,42.592348,0.005985
"WBGene00000099",11.228558,10.389407,11.687585,15.18659,20.304446,8.537906,13.850749,13.459449,9.764435,8.275914,0.041718,8.047383,11.976567,0.106999,11.621289,5.395088,25.315075,1.314231
"WBGene00000100",23.568269,22.088652,17.437939,24.400493,25.941642,9.033187,16.817743,19.839055,4.722778,1.549106,11.943221,15.733956,7.72075,4.08634,5.948873,4.141898,7.680409,8.247348
"WBGene00000101",0,0,0.044582,0,0,0.042107,0,0.024624,1.037907,2.014798,3.637567,3.335757,11.065573,3.564695,6.795593,5.500206,37.292004,4.049029
"WBGene00000102",21.845585,20.75077,15.568062,27.686273,28.738807,11.776125,18.135197,18.045841,6.206247,0,0,0,0.014425,0.582155,0.470918,0.2509,0.416815,0
"WBGene00000103",7.805705,7.77525,5.095773,6.202483,6.644881,4.19128,4.664331,3.467761,3.032881,4.165241,0,1.521023,3.409318,11.130866,3.287868,4.741743,5.37499,1.319887
"WBGene00000105",12.981074,12.793083,6.943334,15.310047,13.9409,3.908375,9.046161,10.351688,1.447726,2.240921,0,1.018009,3.070199,4.202091,2.044038,3.580027,5.414643,12.207106
"WBGene00000106",9.859377,9.645645,8.000997,9.821395,10.054299,5.188832,5.906948,6.687171,2.854203,1.584268,65.277895,6.329991,11.958801,15.736766,11.271498,11.373121,12.687266,6.459157
"WBGene00000107",18.498045,24.774351,15.477218,16.192183,17.469976,22.26982,20.143842,13.310329,35.487624,28.996743,24.090095,39.102498,51.43106,15.600713,27.15473,30.267862,42.518713,40.318153
"WBGene00000108",0.01109,0.023234,0,0,0,0,0,0,0.014715,0,0,0.038933,0,0,0,0,0,0
"WBGene00000109",32.87021,33.233383,31.964752,34.17399,30.800287,28.957931,27.268749,26.048124,21.576901,11.246612,0.004634,9.799371,13.569155,2.907669,9.315923,8.066404,14.240459,4.306526
"WBGene00000110",0,0,0,0,0,0,0,0,0,2.670391,71.163707,0,32.419952,0,0,0,0,21.542111
"WBGene00000111",18.150608,21.043929,10.549914,19.826426,16.094073,13.295138,13.143214,13.105223,9.128261,0.02484,8.919175,3.446754,5.300415,1.847176,0,4.842796,2.526823,0.816202
"WBGene00000112",40.770877,38.638678,51.271083,42.345108,44.080015,46.405733,32.956174,32.368394,62.803222,6.515657,9.878743,24.739553,33.65223,12.905274,22.097001,23.392458,35.979271,32.767675
"WBGene00000113",19.168643,19.566415,16.50246,12.413661,17.847216,19.193303,6.336438,16.158865,13.39774,1.682407,0,5.014913,10.161161,2.903208,1.4017,3.08095,5.036652,0
"WBGene00000114",13.679914,5.499856,37.992202,14.100457,41.553229,41.594411,29.243765,55.032834,347.620816,1.192243,3.592634,30.524928,46.592029,4.830236,14.51287,35.959412,30.054541,15.82865
"WBGene00000115",54.881764,50.372181,50.566976,64.784078,58.716702,63.113873,52.084657,36.934036,77.567153,4.117963,7.307106,32.276557,20.087728,1.563405,9.238748,16.581921,30.169686,11.875656
"WBGene00000116",11.569488,9.368675,9.287713,13.631378,10.203559,12.746917,9.293597,6.451756,11.349736,2.335527,81.696945,33.139118,23.258475,9.765071,8.424148,41.720012,16.224746,14.605694
"WBGene00000117",18.061719,17.234049,16.916758,18.646907,19.430323,17.0564,13.418615,12.467951,13.776765,11.976101,0.01271,9.575644,21.282217,14.795139,20.098033,11.843709,27.440096,9.738341
"WBGene00000118",0,0,0,0,0,0,0,0,6.782819,0,37.888043,13.584008,18.279063,2.590716,5.874167,7.960921,8.42332,7.488702
"WBGene00000120",33.589785,33.243624,34.475684,30.780389,28.664663,36.136798,28.458475,25.031984,41.191683,2.886134,0,5.462797,20.607316,25.571578,18.092252,15.11666,14.426496,8.550884
"WBGene00000121",76.324083,64.998727,73.135526,94.9136,100.129197,69.980339,99.572592,92.503889,106.946119,8.042647,0,18.186552,28.111665,4.540018,13.102898,16.760476,49.938595,19.501308
"WBGene00000122",9.101313,8.604405,9.054087,12.834383,11.750848,6.4329,4.168032,4.269125,20.853172,3.204556,85.575098,22.279746,30.322807,8.463975,25.234104,18.699404,48.202157,5.142094
"WBGene00000123",0,0,0,0,0,0.596378,0,0,1.73499,3.990017,75.5953,13.268891,37.57847,12.968093,19.102589,19.015946,29.103133,11.316105
"WBGene00000133",1.398567,0.994919,0.273318,1.243678,1.333155,0.394935,1.170379,0.487983,0.055396,0.602463,0,0.146564,0,0.042037,0.334983,0,0.341991,0
"WBGene00000134",0.198819,0.232771,0.551277,0.368894,0.330609,0.41599,0.15828,0.185358,0.2095,0,0,0,3.416348,0,4.587779,2.344531,2.214143,0
"WBGene00000135",0.731089,0.681598,0.543724,0.854083,0.520501,0.177051,0.416977,0.37658,0.184317,0.455502,0,0.439991,2.690548,2.527431,4.154118,2.353982,3.42299,0
"WBGene00000136",20.375901,19.889815,25.934819,20.471049,16.73437,25.579041,15.697576,12.913077,11.744855,3.782328,0.185429,10.887006,16.1945,3.696893,5.401225,15.726298,10.180113,5.279356
"WBGene00000137",2.29584,2.242837,1.675301,2.38072,1.944583,1.478807,1.951309,1.328737,1.01831,0,0,1.193465,1.527845,1.428589,1.678867,1.021982,2.376109,0
"WBGene00000138",7.898628,7.267463,6.321585,10.401066,9.115813,2.930966,6.270319,4.470927,1.362017,2.768096,0,1.449453,5.313589,10.599445,7.874878,1.557221,6.472347,0.256212
"WBGene00000139",1.663954,1.97895,2.109916,2.776981,1.899329,2.338643,1.620633,1.011263,1.489248,1.388264,0.502538,6.324731,3.251761,4.619066,4.208785,3.972261,6.003429,0.110772
"WBGene00000140",19.193443,16.594048,14.731646,18.678746,20.723025,7.539808,7.613315,7.164159,2.080766,11.598168,32.557091,4.549101,15.212471,8.907654,12.55837,17.427273,14.742727,6.672416
"WBGene00000142",33.013471,28.474141,30.916258,45.216359,39.465365,34.634482,37.551187,26.198621,27.948698,13.39307,69.547457,20.35511,12.161032,6.377994,26.969755,8.385566,29.564618,3.534312
"WBGene00000143",5.898384,5.424506,5.485222,8.79391,8.665563,5.509644,6.94639,4.76065,4.1401,4.944555,0,11.03026,22.91276,17.605145,24.121089,18.705683,59.446015,8.860265
"WBGene00000144",9.401983,8.05604,10.990799,14.814034,14.187987,12.551938,13.493866,11.53181,11.471089,1.193299,193.610437,159.349142,76.104857,7.130063,58.593258,64.06702,115.040358,64.74793
"WBGene00000145",19.687761,20.044757,26.89421,25.4012,24.717193,26.530376,22.541541,10.426972,16.31531,7.763935,0,3.395538,2.315202,10.160482,0,7.11739,7.296731,0
"WBGene00000146",19.63167,18.916443,15.834019,26.413481,24.536311,10.43701,13.190218,11.224471,6.341705,2.09799,103.203359,19.266848,30.718337,22.300251,16.432106,22.111779,46.159881,14.335608
"WBGene00000147",6.000001,5.354765,6.227972,8.534102,7.401679,5.26783,6.308351,4.395605,2.874303,18.585083,4.355267,7.30013,14.162064,19.809768,16.871962,7.8362,23.705758,13.950791
"WBGene00000148",6.634942,5.932161,6.929444,9.617985,7.439164,5.219091,5.255588,3.663324,1.875262,5.701542,37.512423,3.237182,11.409583,13.712463,8.550269,8.735789,14.886518,6.553445
"WBGene00000149",83.578401,80.35925,59.594436,84.392809,79.74492,34.601366,59.910069,64.800005,8.627994,30.497814,103.79244,22.432618,104.683595,67.300588,65.695947,101.793957,103.245086,4.931438
"WBGene00000150",28.809622,27.585445,22.468989,32.28344,27.989219,14.731007,26.350106,26.3656,10.703775,3.805298,0,13.292821,6.709661,4.403984,4.964069,4.350991,5.051309,1.282097
"WBGene00000151",15.156958,13.797795,17.795688,15.492071,21.520739,18.059649,13.102273,11.097309,12.3394,3.29324,3.315367,0,0,0,0,0,0,0
"WBGene00000155",38.393745,34.523202,47.653287,47.594554,47.184594,44.604978,37.30886,37.500453,24.990439,3.435923,71.459998,12.415263,22.015112,3.459177,17.920235,21.555475,32.535985,13.404504
"WBGene00000156",5.974432,5.489376,4.601871,7.973872,7.865704,3.249591,4.027459,3.202213,1.320483,1.122849,0.009996,2.782262,10.284424,9.43908,5.243493,3.798251,24.801165,3.480266
"WBGene00000157",44.510887,41.47371,42.572526,41.788969,39.202045,50.853597,47.645301,39.473771,54.150664,2.231678,0,8.838294,23.214999,31.674441,14.53352,39.473135,18.187635,14.277046
"WBGene00000158",18.407896,17.02595,15.047577,22.996744,20.987956,11.09855,16.58705,15.207868,6.856119,6.135911,67.611176,8.028918,11.622842,8.245318,14.779347,11.02616,20.637424,2.050868
"WBGene00000159",64.324238,61.847824,66.847699,81.662938,69.426498,78.489542,60.874626,52.447613,49.966517,21.25903,116.111175,18.885542,19.441972,15.603584,5.576523,16.921192,22.064971,28.368724
"WBGene00000161",12.524687,11.878748,10.038802,13.658971,10.880086,6.688175,8.497398,8.947735,1.031274,0.951906,0,0,0.717474,0.838966,5.831633,5.026572,0,4.471445
"WBGene00000162",6.678581,6.033757,4.512511,6.319461,7.401576,2.917563,4.348059,4.097305,1.7496,4.683047,78.310871,5.083154,11.223074,14.629044,18.614803,9.156526,22.229822,7.189854
"WBGene00000163",11.498848,10.720769,10.698295,13.624898,12.983043,8.196541,8.122373,5.919634,4.155961,2.59105,0,4.98426,18.594227,10.60129,21.756737,13.277149,28.015805,4.700658
"WBGene00000164",7.873308,7.662887,7.737196,7.782804,6.825876,6.093273,5.958008,4.968801,4.506622,8.084323,81.503248,28.390996,110.687658,211.478524,117.265009,113.372454,86.020843,80.623391
"WBGene00000165",12.543095,12.980372,12.344072,16.868973,13.834123,14.133534,13.567694,12.675279,17.163666,0.567676,0,1.756566,2.510856,2.512386,7.605435,1.628493,3.378962,0.466457
"WBGene00000166",0.704864,0.755343,0.560118,0.728796,0.517438,0.312704,0.626565,0.327439,0.295638,0.356318,129.830798,2.787416,44.724705,78.043996,51.70825,49.033871,52.156869,15.387422
"WBGene00000168",3.397019,3.116668,2.296193,6.407816,9.504528,1.648639,5.031571,4.943654,0.814567,1.238941,0,0.728899,1.779413,0.570263,1.018251,0.250082,5.773524,1.014313
"WBGene00000169",0.3916,1.397602,0.673925,0,0,1.149915,0,0,0.85728,44.695272,0.311832,20.181,16.665129,11.190133,13.16244,5.488153,10.181641,6.558545
"WBGene00000170",38.568766,38.949407,37.526102,35.733099,34.801289,16.641026,26.834114,25.429179,8.125674,50.352839,60.219047,8.455732,42.807387,60.692097,40.576704,47.25951,56.948025,31.697123
"WBGene00000171",0.227746,0.233003,0.095425,0.283798,0.395536,0.083325,0.253933,0.212829,0.042703,0,0,0.624403,1.003832,0.014402,0,0,0.342724,0
"WBGene00000172",25.174608,24.3758,25.235508,23.846381,20.843581,23.532296,21.375415,15.036283,12.46471,1.163571,91.970585,104.517703,34.235877,2.29417,19.092016,74.438177,24.36885,7.95862
"WBGene00000173",0.347085,0.343384,0.201982,0.360423,0.343205,0.10215,0.279605,0.168085,0.127931,0,0,0.386825,2.601984,0,4.125873,1.770809,3.496121,0.065411
"WBGene00000174",0.492286,0.473373,0.172128,0.647897,0.537645,0.15545,0.496413,0.406937,0.108158,0,0,0.074629,1.45361,1.764696,0,0.632617,0.252822,0
"WBGene00000176",42.337778,41.964749,41.810942,43.73137,36.715865,45.898335,33.970264,21.814948,12.302364,35.852721,0,10.853919,17.086627,4.623381,3.717502,12.820445,29.686635,8.053603
"WBGene00000177",6.102763,5.91046,6.826604,8.021719,5.709988,8.949,3.505524,2.743795,2.522986,1.9301,93.641243,31.958465,11.658961,8.852658,6.442805,13.30733,6.886507,3.284514
"WBGene00000178",43.688457,44.621973,46.886919,60.221737,43.824169,52.632246,36.225659,29.051224,18.198657,9.304012,4.32786,11.289356,10.479977,1.589273,9.586362,11.952467,8.13482,31.701661
